index,Address,discription,label
0,0x00192fb10df37c9fb26829eb2cc623cd1bf599e8,mining,0
1,0x002e08000acbbae2155fab7ac01929564949070d,mining,0
2,0x004e6f03648b0b0f529511697b0f36a463a24836,ico,0
3,0x00674045bb7c17f0aa1cde34780d6c51af548728,ico,0
4,0x0068eb681ec52dbd9944517d785727310b494575,exchange,0
5,0x00832a758a781055ac19b5f9bf553db8bb9db32d,ico,0
6,0x00c7122633a4ef0bc72f7d02456ee2b11e97561e,ico,0
7,0x00eb6f5199cd0b671da371969b1a0f948e982fea,phish-hack,1
8,0x01091506ce9f1977a660c5ad4915cbd89e4e1a49,ico,0
9,0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,phish-hack,1
10,0x0211f3cedbef3143223d3acf0e589747933e8527,exchange,0
11,0x024c344da7208e60356378a252dab771c34be111,phish-hack,1
12,0x02dc3b8ab87c562cdce707647bd1ba21c390faf4,ico,0
13,0x02f8fa04877be844e073eb8effeb48c420b33abe,converter,0
14,0x0324a5f6289e647baf88d9c96c331cf964220ce8,phish-hack,1
15,0x035a401972f228b58dcae76bf318b54ed036d680,ico,0
16,0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,phish-hack,1
17,0x03bdf69b1322d623836afbd27679a1c0afa067e9,exchange,0
18,0x03e4b00b607d0980668ca6e50201576b00000000,ico,0
19,0x043375ebc36fff7a4fcef1359f3c89afddf56e08,phish-hack,1
20,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,mining,0
21,0x04a3d37cae5fe8acfcaf6d5eb66369d639ff027e,phish-hack,1
22,0x04c62019ab478bff5874e7b7d9bc84fcf7e30025,ico,0
23,0x0536806df512d6cdde913cf95c9886f65b1d3462,exchange,0
24,0x05f51aab068caa6ab7eeb672f88c180f67f17ec7,exchange,0
25,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,exchange,0
26,0x06b8c5883ec71bc3f4b332081519f23834c8706e,mining,0
27,0x079cf5c7b29067708bf653fbb93d7f619d9287a9,converter,0
28,0x07cfb04588154b06e3958b5d70408244102014d5,phish-hack,1
29,0x081edbef6106ab1253557451b261c1c99bade726,ico,0
30,0x0861fca546225fbf8806986d211c8398f7457734,exchange,0
31,0x08986f5cecd3cb8882e4a34a16961e3124377291,phish-hack,1
32,0x08bba7fb279915d7bfd08670571cc978e88a03f6,converter,0
33,0x0967c50bfec4dba06e28e8fdbcfd15a23474fab4,phish-hack,1
34,0x09ab1303d3ccaf5f018cd511146b07a240c70294,mining,0
35,0x09ce1ba1bd31b1395c3e7560afd393b0e014e344,converter,0
36,0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,exchange,0
37,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,exchange,0
38,0x0a888f0f0b772e17a2adfd62d3f15cec72c8d42f,phish-hack,1
39,0x0b1bb711524f9d43515b5424c029f2e3beed1ffc,converter,0
40,0x0bb9fc3ba7bcf6e5d6f6fc15123ff8d5f96cee00,ico,0
41,0x0c4762bc7b1af1dc9448a827f53861c118b712de,phish-hack,1
42,0x0c4b367e876d18d5c102023d9240dd7e9c11b380,ico,0
43,0x0c8b740e3377f2be7a108aeba6a2f660588c728d,phish-hack,1
44,0x0c9d1b3ca852c67bbeabeeb51e9482a845d56868,phish-hack,1
45,0x0cfbed1bd80bd8a740f24ec5fca8e8d1a9f87052,converter,0
